"date","treat","pre.mass","post.mass","prop.mass.change"
"6/27/23","c",0.352,0.317,0.099431818
"6/27/23","m",0.4032,0.3506,0.130456349
"6/27/23","c",0.4084,0.3608,0.1165524
"6/27/23","m",0.3913,0.3415,0.127268081
"6/27/23","m",0.4613,0.3874,0.160199436
"6/27/23","c",0.4104,0.3694,0.099902534
"6/27/23","m",0.4483,0.3819,0.148115101
"6/29/23","c",0.3916,0.3473,0.113125638
"6/29/23","c",0.416,0.3742,0.100480769
"6/29/23","m",0.3974,0.3395,0.145697031
"6/29/23","c",0.4219,0.388,0.080350794
"6/29/23","m",0.4931,0.4137,0.161022105
"6/29/23","c",0.4402,0.4068,0.075874602
"6/29/23","m",0.4178,0.3455,0.173049306
"6/29/23","c",0.4767,0.4375,0.082232012
"7/3/23","c",0.4164,0.3628,0.128722382
"7/3/23","m",0.4308,0.3671,0.147864438
"7/3/23","c",0.433,0.4035,0.06812933
"7/3/23","m",0.4224,0.3504,0.170454545
"7/3/23","c",0.4534,0.4065,0.10344067
"7/3/23","m",0.45,0.3916,0.129777778
"7/3/23","c",0.4511,0.4204,0.068055863
"7/3/23","m",0.405,0.3477,0.141481481
